tweet_id,name,dog_stage,breed,rating
823322678127919110,Wyatt,,chihuahua,1.1
822975315408461824,Albus,,pembroke,1.2
822872901745569793,,puppo,lakeland_terrier,1.3
822859134160621569,Hobbes,,malinois,1.2
822610361945911296,,,cocker_spaniel,1.2
822489057087389700,Paisley,,samoyed,1.3
822462944365645825,Gabe,pupper,pomeranian,1.4
822244816520155136,,,samoyed,1.1
821886076407029760,Jimison,,golden_retriever,1.3
821765923262631936,Duchess,doggo,golden_retriever,1.3
821522889702862852,Harlso,,doberman,1.3
821407182352777218,Sundance,doggo,irish_setter,1.4
821149554670182400,Luca,,german_shepherd,1.2
821107785811234820,,doggo,pomeranian,1.1
821044531881721856,Flash,,old_english_sheepdog,1.2
820749716845686786,Sunny,,golden_retriever,1.3
820690176645140481,,,west_highland_white_terrier,1.2
820314633777061888,,,gordon_setter,1.4
820078625395449857,,,,1.2
819952236453363712,Oliver,puppo,american_staffordshire_terrier,1.3
819924195358416896,,doggo,,1.1
819711362133872643,Howie,,toy_poodle,1.1
819588359383371776,Jazzy,,cardigan,1.3
819347104292290561,Anna,,rottweiler,1.2
819227688460238848,Finn,,border_terrier,1.2
819006400881917954,Sunny,doggo,,1.4
819004803107983360,Bo,doggo,standard_poodle,1.4
818627210458333184,Wafer,,labrador_retriever,1.3
818614493328580609,Bear,,chihuahua,1.2
818536468981415936,Tom,,welsh_springer_spaniel,1.1
818259473185828864,Florence,,miniature_schnauzer,1.2
818145370475810820,Autumn,,golden_retriever,1.1
817827839487737858,Buddy,,cocker_spaniel,1.3
817777686764523521,Dido,pupper,curly-coated_retriever,1.3
817536400337801217,Eugene,,pug,1.2
817423860136083457,Ken,,samoyed,1.3
817415592588222464,Strudel,,doberman,1.1
817171292965273600,Tebow,,golden_retriever,1.3
817120970343411712,,,saluki,1.3
817056546584727552,Chloe,,kelpie,1.1
816816676327063552,Timber,,malamute,1.2
816697700272001025,Binky,,chihuahua,1.2
816450570814898180,Moose,,,1.3
816336735214911488,Dudley,,labrador_retriever,1.1
816091915477250048,Comet,,pomeranian,1.2
815990720817401858,Jack,,chihuahua,1.1
815966073409433600,,pupper,tibetan_mastiff,1.3
815736392542261248,Akumi,,border_collie,1.1
